Country/Territory,Capital,Largest City,Second Largest City
Mali,Bamako,Bamako,Sikasso
Malta,Valletta,Birkirkara,Mosta
Marshall Islands,Majuro,Ebeye,Rita
Mauritania,Nouakchott,Nouakchott,Nouadhibou
Mauritius,Port Louis,Port Louis,Beau Bassin-Rose Hill
Mayotte,Mamoudzou,Mamoudzou,Dzaoudzi
Mexico,Mexico City,Mexico City,Ecatepec
Federated States of Micronesia,Palikir,Weno,Palikir
Moldova,Chișinău,Chișinău,Tiraspol
Monaco,Monaco,Monte Carlo,La Condamine
Mongolia,Ulaanbaatar,Ulaanbaatar,Darkhan
Montenegro,Podgorica,Podgorica,Nikšić
Montserrat,Brades,Brades,Saint Peter's
Morocco,Rabat,Casablanca,Fez
Mozambique,Maputo,Maputo,Beira
Myanmar,Nay Pyi Taw,Yangon,Mandalay
Nagorno-Karabakh,Stepanakert,Stepanakert,Shusha
Namibia,Windhoek,Windhoek,Rundu
Nauru,Yaren,Yaren,Denigomudu
Nepal,Kathmandu,Kathmandu,Pokhara
Netherlands,Amsterdam,Amsterdam,Rotterdam
New Caledonia,Nouméa,Nouméa,Wé
New Zealand,Wellington,Auckland,Christchurch
Nicaragua,Managua,Managua,León
Niger,Niamey,Niamey,Zinder
Nigeria,Abuja,Lagos,Kano
Niue,Alofi,Alofi,Hakupu
Norfolk Island,Kingston,Burnt Pine,Kingston
Northern Mariana Islands,San Antonio,San Antonio,Garapan
Norway,Oslo,Oslo,Bergen
Oman,Muscat,Muscat,Salalah
Pakistan,Islamabad,Karachi,Lahore
Palau,Ngerulmud,Koror,Airai
Palestine,East Jerusalem,Gaza City,Hebron
Panama,Panama City,Panama City,Colón
Papua New Guinea,Port Moresby,Port Moresby,Lae
Paraguay,Asunción,Asunción,Ciudad del Este
Peru,Lima,Lima,Arequipa
Philippines,Manila,Quezon City,Cebu City
Pitcairn Islands,Adamstown,Adamstown,
Poland,Warsaw,Warsaw,Kraków
Portugal,Lisbon,Lisbon,Porto
Puerto Rico,San Juan,San Juan,Bayamón
Ponce,,,
Qatar,Doha,Doha,Al Rayyan
Romania,Bucharest,Bucharest,Cluj-Napoca
Constanța,,,
Russia,Moscow,Moscow,Saint Petersburg
Rwanda,Kigali,Kigali,Muhanga
Saint Barthélemy,Gustavia,Gustavia,St. Jean
Saint Helena,Jamestown,Half Tree Hollow,Jamestown
Saint Kitts and Nevis,Basseterre,Basseterre,Charlestown
Saint Lucia,Castries,Castries,Gros Islet
Saint Martin,Marigot,Marigot,Rambaud
Saint Pierre and Miquelon,Saint-Pierre,Saint-Pierre,Miquelon
Saint Vincent and the Grenadines,Kingstown,Kingstown,Georgetown
Samoa,Apia,Apia,Vaitele
San Marino,San Marino,Dogana,Borgo Maggiore
São Tomé and Príncipe,São Tomé,São Tomé,Trindade
Saudi Arabia,Riyadh,Riyadh,Jeddah
Senegal,Dakar,Dakar,Touba
Serbia,Belgrade,Belgrade,Novi Sad
Seychelles,Victoria,Victoria,Anse Etoile
Sierra Leone,Freetown,Freetown,Bo
Singapore,Singapore,Singapore,
Sint Maarten,Philipsburg,Lower Prince's Quarter,Cul De Sac
Slovakia,Bratislava,Bratislava,Košice
Slovenia,Ljubljana,Ljubljana,Maribor
Solomon Islands,Honiara,Honiara,Gizo
Somalia,Mogadishu,Mogadishu,Hargeisa
South Africa,Pretoria,Cape Town,Durban
Johannesburg,Cape Town,,
South Georgia and the South Sandwich Islands,King Edward Point,King Edward Point,Grytviken
South Ossetia,Tskhinvali,Tskhinvali,Akhalgori
South Sudan,Juba,Juba,Yei
Spain,Madrid,Madrid,Barcelona
Sri Lanka,Sri Jayawardenepura Kotte,Colombo,Dehiwala-Mount Lavinia
Kandy,,,
Sudan,Khartoum,Omdurman,Khartoum
Khartoum,Port Sudan,,
Suriname,Paramaribo,Paramaribo,Lelydorp
Svalbard,Longyearbyen,Longyearbyen,Barentsburg
Swaziland,Mbabane,Manzini,Mbabane
Sweden,Stockholm,Stockholm,Gothenburg
Switzerland,Bern,Zürich,Geneva
Syria,Damascus,Aleppo,Damascus
Taiwan,Taipei,New Taipei,Taichung
Tajikistan,Dushanbe,Dushanbe,Khujand
Tanzania,Dodoma,Dar es Salaam,Mwanza
Thailand,Bangkok,Bangkok,Nonthaburi
Pak Kret,,,
Togo,Lomé,Lomé,Sokodé
Tokelau,None,Fakaofo,Atafu
Tonga,Nuku'alofa,Nukuʻalofa,Neiafu
Transnistria,Tiraspol,Tiraspol,Tighina
Trinidad and Tobago,Port of Spain,Chaguanas,San Fernando
Tunisia,Tunis,Tunis,Sfax
Turkey,Ankara,Istanbul,Ankara
Turkmenistan,Ashgabat,Ashgabat,Türkmenabat
Turks and Caicos Islands,Cockburn Town,Five Cays,Honda Road
Tuvalu,Funafuti,Funafuti,Asau
Uganda,Kampala,Kampala,Gulu
Ukraine,Kiev,Donetsk,Kharkiv
United Arab Emirates,Abu Dhabi,Dubai,Abu Dhabi
United Kingdom,London,London,Birmingham
United States of America,"Washington, D.C.",New York City,Los Angeles
Uruguay,Montevideo,Maldonado,Ciudad de la Costa
Uzbekistan,Tashkent,Tashkent,Namangan
Vanuatu,Port Vila,Port Vila,Luganville
Vatican City,Vatican City,Vatican City,
Venezuela,Caracas,Caracas,Maracaibo
Vietnam,Hanoi,Ho Chi Minh City,Hanoi
British Virgin Islands,Road Town,Road Town,Spanish Town
United States Virgin Islands,Charlotte Amalie,Charlotte Amalie,Anna's Retreat
Wallis and Futuna,Mata-Utu,Mata-Utu,Alele
Western Sahara,Laayoune,Laayoune,Dakhla
Yemen,Sana'a,Sana'a,Aden
Zambia,Lusaka,Lusaka,Kitwe
Zimbabwe,Harare,Harare,Bulawayo
